algoritmo,n,escenario,repeticion,comparaciones,tiempo_ns,tiempo_orden_ns
lineal,100,ausente,1,100,8800,0
binaria,100,ausente,1,7,2200,25500
lineal,100,ausente,2,100,8800,0
binaria,100,ausente,2,7,1900,25500
lineal,100,ausente,3,100,8800,0
binaria,100,ausente,3,7,1900,25500
lineal,100,ausente,4,100,8800,0
binaria,100,ausente,4,7,1800,25500
lineal,100,ausente,5,100,9000,0
binaria,100,ausente,5,7,1900,25500
lineal,100,ausente,6,100,9200,0
binaria,100,ausente,6,7,2400,25500
lineal,100,ausente,7,100,8800,0
binaria,100,ausente,7,7,2100,25500
lineal,100,ausente,8,100,8900,0
binaria,100,ausente,8,7,1900,25500
lineal,100,ausente,9,100,8700,0
binaria,100,ausente,9,7,1900,25500
lineal,100,ausente,10,100,9100,0
binaria,100,ausente,10,7,2000,25500
lineal,100,ausente,11,100,20300,0
binaria,100,ausente,11,7,2200,25500
lineal,100,ausente,12,100,9300,0
binaria,100,ausente,12,7,1800,25500
lineal,100,ausente,13,100,9200,0
binaria,100,ausente,13,7,2000,25500
lineal,100,ausente,14,100,9100,0
binaria,100,ausente,14,7,1900,25500
lineal,100,ausente,15,100,9300,0
binaria,100,ausente,15,7,1900,25500
lineal,100,ausente,16,100,8600,0
binaria,100,ausente,16,7,1900,25500
lineal,100,ausente,17,100,8700,0
binaria,100,ausente,17,7,1900,25500
lineal,100,ausente,18,100,8900,0
binaria,100,ausente,18,7,1900,25500
lineal,100,ausente,19,100,8900,0
binaria,100,ausente,19,7,2000,25500
lineal,100,ausente,20,100,8800,0
binaria,100,ausente,20,7,1900,25500
lineal,100,ausente,21,100,8700,0
binaria,100,ausente,21,7,1900,25500
lineal,100,ausente,22,100,9200,0
binaria,100,ausente,22,7,2000,25500
lineal,100,ausente,23,100,9100,0
binaria,100,ausente,23,7,2000,25500
lineal,100,ausente,24,100,8700,0
binaria,100,ausente,24,7,2000,25500
lineal,100,ausente,25,100,8700,0
binaria,100,ausente,25,7,2000,25500
lineal,100,ausente,26,100,15700,0
binaria,100,ausente,26,7,3900,25500
lineal,100,ausente,27,100,12000,0
binaria,100,ausente,27,7,2400,25500
lineal,100,ausente,28,100,9300,0
binaria,100,ausente,28,7,2000,25500
lineal,100,ausente,29,100,8800,0
binaria,100,ausente,29,7,2000,25500
lineal,1000,inicio,0,1,3900,0
binaria,1000,inicio,0,9,6100,307200
lineal,1000,inicio,1,1,1000,0
binaria,1000,inicio,1,9,3500,307200
lineal,1000,inicio,2,1,900,0
binaria,1000,inicio,2,9,3300,307200
lineal,1000,inicio,3,1,1000,0
binaria,1000,inicio,3,9,3300,307200
lineal,1000,inicio,4,1,700,0
binaria,1000,inicio,4,9,3600,307200
lineal,1000,inicio,5,1,900,0
binaria,1000,inicio,5,9,2800,307200
